# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     12.94899800  0.308113118784215E+001
     13.00424333  0.266940599112363E+001
     13.05948865  0.236768471888479E+001
     13.11473398  0.222863960193421E+001
     13.16997930  0.219991383543220E+001
     13.22522463  0.222811392133044E+001
     13.28046996  0.229377282390730E+001
     13.33571528  0.235681919600219E+001
     13.39096061  0.234445631362098E+001
     13.44620594  0.222019298964140E+001
     13.50145126  0.202478260159812E+001
     13.55669659  0.183505586258979E+001
     13.61194191  0.170123845012548E+001
     13.66718724  0.161012310183225E+001
     13.72243257  0.150172565140292E+001
     13.77767789  0.134532292676742E+001
     13.83292322  0.118468491048825E+001
     13.88816854  0.108210216038564E+001
     13.94341387  0.104112072643816E+001
     13.99865920  0.100610876384715E+001
     14.05390452  0.919828623020108E+000
     14.10914985  0.769558545742716E+000
     14.16439518  0.587977333707951E+000
     14.21964050  0.419032879803774E+000
     14.27488583  0.290143035276104E+000
     14.33013115  0.215625647211268E+000
     14.38537648  0.205482861183681E+000
     14.44062181  0.253654623851263E+000
     14.49586713  0.324935223251481E+000
     14.55111246  0.370304417315987E+000
     14.60635778  0.360423100985329E+000
     14.66160311  0.299780300922775E+000
     14.71684844  0.213371554388131E+000
     14.77209376  0.129002895658247E+000
     14.82733909  0.661063791600755E-001
     14.88258441  0.301498744645282E-001
     14.93782974  0.164055445715211E-001
     14.99307507  0.206599676026779E-001
     15.04832039  0.448097460612869E-001
     15.10356572  0.891047682317969E-001
     15.15881105  0.138544967425083E+000
     15.21405637  0.164935219499869E+000
     15.26930170  0.151042426561224E+000
     15.32454702  0.107993332867755E+000
     15.37979235  0.619898221771363E-001
     15.43503768  0.301920113770554E-001
     15.49028300  0.143384016521417E-001
     15.54552833  0.965770855979437E-002
     15.60077365  0.128200525607113E-001
     15.65601898  0.228423144586037E-001
     15.71126431  0.369958622933131E-001
     15.76650963  0.476281199657096E-001
     15.82175496  0.467047479603554E-001
     15.87700029  0.343405819142480E-001
     15.93224561  0.188089267568876E-001
     15.98749094  0.765139753652717E-002
     16.04273626  0.230835238962978E-002
     16.09798159  0.516069588998247E-003
     16.15322692  0.854599223243579E-004
     16.20847224  0.104795106184305E-004
     16.26371757  0.951390308560257E-006
     16.31896289  0.639368900668626E-007
     16.37420822  0.318028760532348E-008
     16.42945355  0.117072823434042E-009
     16.48469887  0.318915603258299E-011
     16.53994420  0.642807938306076E-013
     16.59518952  0.958579010454752E-015
     16.65043485  0.105747566304417E-016
     16.70568018  0.862903329913708E-019
     16.76092550  0.520781680416750E-021
     16.81617083  0.232435603338375E-023
     16.87141616  0.767103450193078E-026
     16.92666148  0.187180256046486E-028
     16.98190681  0.337653482700600E-031
     17.03715213  0.450233521881458E-034
     17.09239746  0.443721378203838E-037
     17.14764279  0.323176500132851E-040
     17.20288811  0.173931259338346E-043
     17.25813344  0.691633863263840E-047
     17.31337876  0.203183645012377E-050
     17.36862409  0.440929597809969E-054
     17.42386942  0.706761574353890E-058
     17.47911474  0.836673596965936E-062
     17.53436007  0.731435640019047E-066
     17.58960540  0.472162807868043E-070
     17.64485072  0.225041687035429E-074
     17.70009605  0.791864622932772E-079
     17.75534137  0.205692376991764E-083
     17.81058670  0.394392437310845E-088
     17.86583203  0.558145257513635E-093
     17.92107735  0.582962539557262E-098
     17.97632268  0.449341560092705E-103
     18.03156800  0.255578398064989E-108
     18.08681333  0.107263924940066E-113
     18.14205866  0.332151984821374E-119
     18.19730398  0.758833571562431E-125
     18.25254931  0.127895967409549E-130
     18.30779463  0.159016836116450E-136
